STRUCTURE_NUMBER_008,LOCATION_009,ADT_029,PERCENT_ADT_TRUCK_109,LAT_016,LONG_017,INVENTORY_RATING_066,YEAR_BUILT_027,SUPERSTRUCTURE_COND_059,FUNCTIONAL_CLASS_026,r_i_lb,d_i,N_i,V_age_overload,V_elem_overload,Risk_Index
150460000000000.0,'3.2 MI NE OF FM 306',112918,20.0,29.766933333333334,-98.04327222222221,23.6,1933,N,1,47200.0,66.06218176,14919.218879951362,1.25,1.0,18649.023599939203
150150000000000.0,'0.65 MI S OF LOOP 1604',223597,10.0,29.56110277777778,-98.34111388888888,23.6,1934,N,11,47200.0,66.06218176,14771.305654990723,1.25,1.0,18464.132068738403
150150000000000.0,'2.05 MI S OF SH 218',223597,10.0,29.547025,-98.36635555555554,23.6,1957,N,11,47200.0,66.06218176,14771.305654990723,1.25,1.0,18464.132068738403
121020000000000.0,'2.0 MI E OF IH 610',150291,15.0,29.772027777777776,-95.22795,24.5,1950,6,11,49000.0,63.418084,14296.750893665998,1.25,1.025,18317.71208250956
121020000000000.0,'1.3 MI E OF FM 526',170605,14.0,29.770966666666666,-95.19143333333334,24.5,1983,N,11,49000.0,63.418084,15147.219109148,1.2,1.0,18176.6629309776
91610000000000.0,'0.6 MI N OF SH 6',70801,31.0,31.501225,-97.14626944444446,23.6,1931,N,11,47200.0,66.06218176,14499.532445448258,1.25,1.0,18124.415556810323
91610000000000.0,'0.3 Mi N of LP 340',77498,23.0,31.608211111111114,-97.10578055555555,23.6,1972,N,11,47200.0,66.06218176,11775.280012683908,1.5142857142857142,1.0,17831.138304921344
91610000000000.0,'1.6 MI N OF LP 340N',77498,23.0,31.623483333333333,-97.09729166666666,23.6,1972,N,11,47200.0,66.06218176,11775.280012683908,1.5142857142857142,1.0,17831.138304921344
121700000000000.0,'1.05 MI N  OF HARRIS C/L',243893,9.0,30.124950000000002,-95.44284166666667,24.5,1926,N,11,49000.0,63.418084,13920.5040849108,1.25,1.0,17400.6301061385
141060000000000.0,'0.2 MI N OF FM 3407',131260,16.0,29.85966666666667,-97.95005833333333,23.6,1958,N,11,47200.0,66.06218176,13874.11516450816,1.25,1.0,17342.6439556352
142460000000000.0,'0.8 MI S OF FM 620',209037,10.0,30.499047222222224,-97.68087222222222,23.6,1960,N,11,47200.0,66.06218176,13809.440288565122,1.25,1.0,17261.800360706402
141060000000000.0,'4.2 MI S OF RM 150',126784,17.0,29.93083888888889,-97.88878055555556,24.5,1935,N,11,49000.0,63.418084,13668.6772151552,1.25,1.0,17085.846518944003
